,Unnamed: 0,msa,year,sex,age_group,ethnicity,race,cancer_site,bucket,count
0,502946,"Chicago-Naperville-Elgin, IL-IN-WI",2003,Female,25-29 years,Unknown or Missing,White,Gallbladder,2,0
1,266608,"Birmingham-Hoover, AL",2002,Male,60-64 years,Unknown or Missing,Other Races and Unknown combined,Gallbladder,2,0
2,694071,"Dayton-Kettering, OH",2009,Male,55-59 years,Unknown or Missing,American Indian or Alaska Native,Lung and Bronchus,2,0
3,1143346,"Jackson, MS",2012,Male,75-79 years,Non-Hispanic,White,Gallbladder,2,0
4,2586498,"Stockton-Lodi, CA",2013,Male,60-64 years,Non-Hispanic,Other Races and Unknown combined,Gallbladder,2,0
